date_id,date,day,month,month_name,quarter,year,financial_year,week_of_year,day_of_week,is_weekend,is_public_holiday,is_eofy_month,season
20210331,2021-03-31,31,3,March,Q1,2021,FY2020/21,13,Wednesday,N,N,N,Autumn
20210401,2021-04-01,1,4,April,Q2,2021,FY2020/21,13,Thursday,N,N,N,Autumn
20210402,2021-04-02,2,4,April,Q2,2021,FY2020/21,13,Friday,N,Y,N,Autumn
20210403,2021-04-03,3,4,April,Q2,2021,FY2020/21,13,Saturday,Y,N,N,Autumn
20210404,2021-04-04,4,4,April,Q2,2021,FY2020/21,13,Sunday,Y,N,N,Autumn
20210405,2021-04-05,5,4,April,Q2,2021,FY2020/21,14,Monday,N,Y,N,Autumn
20210406,2021-04-06,6,4,April,Q2,2021,FY2020/21,14,Tuesday,N,N,N,Autumn
20210407,2021-04-07,7,4,April,Q2,2021,FY2020/21,14,Wednesday,N,N,N,Autumn
20210408,2021-04-08,8,4,April,Q2,2021,FY2020/21,14,Thursday,N,N,N,Autumn
20210409,2021-04-09,9,4,April,Q2,2021,FY2020/21,14,Friday,N,N,N,Autumn
20210410,2021-04-10,10,4,April,Q2,2021,FY2020/21,14,Saturday,Y,N,N,Autumn
20210411,2021-04-11,11,4,April,Q2,2021,FY2020/21,14,Sunday,Y,N,N,Autumn
20210412,2021-04-12,12,4,April,Q2,2021,FY2020/21,15,Monday,N,N,N,Autumn
20210413,2021-04-13,13,4,April,Q2,2021,FY2020/21,15,Tuesday,N,N,N,Autumn
20210414,2021-04-14,14,4,April,Q2,2021,FY2020/21,15,Wednesday,N,N,N,Autumn
20210415,2021-04-15,15,4,April,Q2,2021,FY2020/21,15,Thursday,N,N,N,Autumn
20210416,2021-04-16,16,4,April,Q2,2021,FY2020/21,15,Friday,N,N,N,Autumn
20210417,2021-04-17,17,4,April,Q2,2021,FY2020/21,15,Saturday,Y,N,N,Autumn
20210418,2021-04-18,18,4,April,Q2,2021,FY2020/21,15,Sunday,Y,N,N,Autumn
20210419,2021-04-19,19,4,April,Q2,2021,FY2020/21,16,Monday,N,N,N,Autumn
20210420,2021-04-20,20,4,April,Q2,2021,FY2020/21,16,Tuesday,N,N,N,Autumn
20210421,2021-04-21,21,4,April,Q2,2021,FY2020/21,16,Wednesday,N,N,N,Autumn
20210422,2021-04-22,22,4,April,Q2,2021,FY2020/21,16,Thursday,N,N,N,Autumn
20210423,2021-04-23,23,4,April,Q2,2021,FY2020/21,16,Friday,N,N,N,Autumn
20210424,2021-04-24,24,4,April,Q2,2021,FY2020/21,16,Saturday,Y,N,N,Autumn
20210425,2021-04-25,25,4,April,Q2,2021,FY2020/21,16,Sunday,Y,Y,N,Autumn
20210426,2021-04-26,26,4,April,Q2,2021,FY2020/21,17,Monday,N,N,N,Autumn
20210427,2021-04-27,27,4,April,Q2,2021,FY2020/21,17,Tuesday,N,N,N,Autumn
20210428,2021-04-28,28,4,April,Q2,2021,FY2020/21,17,Wednesday,N,N,N,Autumn
20210429,2021-04-29,29,4,April,Q2,2021,FY2020/21,17,Thursday,N,N,N,Autumn
20210430,2021-04-30,30,4,April,Q2,2021,FY2020/21,17,Friday,N,N,N,Autumn
20210501,2021-05-01,1,5,May,Q2,2021,FY2020/21,17,Saturday,Y,N,N,Autumn
20210502,2021-05-02,2,5,May,Q2,2021,FY2020/21,17,Sunday,Y,N,N,Autumn
20210503,2021-05-03,3,5,May,Q2,2021,FY2020/21,18,Monday,N,N,N,Autumn
20210504,2021-05-04,4,5,May,Q2,2021,FY2020/21,18,Tuesday,N,N,N,Autumn
20210505,2021-05-05,5,5,May,Q2,2021,FY2020/21,18,Wednesday,N,N,N,Autumn
20210506,2021-05-06,6,5,May,Q2,2021,FY2020/21,18,Thursday,N,N,N,Autumn
20210507,2021-05-07,7,5,May,Q2,2021,FY2020/21,18,Friday,N,N,N,Autumn
20210508,2021-05-08,8,5,May,Q2,2021,FY2020/21,18,Saturday,Y,N,N,Autumn
20210509,2021-05-09,9,5,May,Q2,2021,FY2020/21,18,Sunday,Y,N,N,Autumn
